,idade,salario
0,47,5000
1,40,6000
2,33,4000
3,38,1506
4,30,1530
5,40,2500
6,24,1650
7,32,8000
8,24,1506.46
9,27,1522
10,40,10000
11,25,1866
12,30,2500
13,37,1600
14,33,2196.07
15,47,5000
16,34,1510
17,43,2500
18,28,2200
19,30,1900
20,30,801.36
21,44,3000
22,37,3500
23,30,1000
24,35,3500
25,55,8000
26,26,2000
27,50,8500
28,33,8600
29,33,1881
30,54,15000
31,36,4200
32,30,4200
33,38,30000
34,25,2000
35,25,2027
36,21,1600
37,38,3000
38,36,1150
39,25,1000
40,32,700
41,26,2000.00
42,34,1900
43,27,1890
44,39,1350
45,44,2000
46,27,1563
47,28,1300
48,30,1300
49,33,1500.00
50,37,4500
51,41,2500
52,27,1300
53,27,2000
54,21,2300
55,53,9500
56,44,4000
57,21,800
58,32,1500
59,48,4808.00
60,47,3000
61,25,1322
62,34,2318
63,29,2000.00
64,26,2100
65,37,15000
66,49,2300.00
67,24,1800
68,24,4500
69,24,900.00
70,30,2333
71,39,8600
72,27,1100.00
73,48,4500
74,45,4000
75,26,1210
76,48,7600
77,22,720
78,41,4500
79,30,900.00
80,45,907
81,26,3178
82,47,3500.00
83,28,1700
84,51,9000
85,33,1420
86,40,3000.00
87,39,5000
88,41,5360
89,46,9646
90,33,4650
91,40,5650
92,30,3836
93,31,2000
94,51,20000
95,27,700.00
96,40,1600
97,34,2500
98,33,3225
99,40,1917.03
100,20,1063
101,58,11650
102,29,1800
103,26,1110
104,24,1800.00
105,31,5730.65
106,38,1400.00
107,25,1300
108,65,2000
109,42,1200
110,32,2275
111,48,1800
112,40,1800
113,36,6080
114,24,1110
115,23,1600
116,26,1486
117,42,2500
118,31,1600
119,32,7500
120,23,1010
121,25,1523.30
122,66,8505
123,32,8000
124,39,5000
125,28,1500
126,24,2100
127,34,880
128,27,1700
129,41,2600
130,43,2000
131,19,1500
132,62,7460
133,33,3800
134,21,1550
135,25,1500
136,24,950
137,35,1666.66
138,48,10000
139,22,800
140,27,1200
141,31,10000
142,32,2000.00
143,32,5000
144,23,1000
145,56,12000
146,55,4300
147,37,3500
148,31,5000
149,48,1446
150,20,1408.5
151,42,1516
152,28,1363.05
153,42,5300
154,32,6022.5
155,31,4200
156,40,8500
157,37,4300
158,35,2400
159,35,4500
160,33,9772.05
161,29,2700
162,26,950
163,24,1600
164,27,1194
165,27,3000
166,40,2538
167,39,6300
168,51,6000
169,26,1500
170,55,6000.00
171,40,5000
172,28,1450
173,26,1277
174,29,3670
175,39,1300
176,41,8000
177,19,850.00
178,33,1800
179,40,6000
180,38,5000
181,20,1000
182,23,900
183,27,4500
184,54,5000
185,34,1384.14
186,43,10500
187,58,7000.00
188,28,900
189,51,6308
190,58,9000
191,36,4500
192,44,4700
193,31,1500
194,42,1400
195,33,1454
196,31,1200
197,27,1300
198,38,1450.02
199,39,5000
200,34,9780
201,46,2500
202,18,700
203,27,1825.74
204,20,540
205,48,4600
206,32,1200
207,47,8000
208,47,1699
209,21,1052
210,23,1500
211,36,3225
212,43,2000.00
213,54,15000.00
214,35,2038.56
215,25,1000
216,37,1200
217,22,1445
218,24,1336
219,39,8500
220,24,800
221,51,33000
222,29,2401
223,32,1800
224,40,1696
225,32,4446
226,34,8000
227,40,1600
228,29,1900.00
229,42,5500
230,37,2200
231,37,1600
232,23,1627
233,33,10000
234,42,3500
235,35,2600
236,29,3500
237,30,2100
238,26,930
239,35,2730
240,22,1500
241,39,11000
242,32,5800
243,62,5000
244,20,900.00
245,38,6000
246,31,5000
247,36,3500.00
248,24,2800
249,26,1100
250,51,1365
251,45,13500
252,51,3310.00
253,45,1800
254,49,2300
255,30,600
256,47,5500
257,19,1000
258,31,1111
259,27,1500
260,42,9000
261,33,2100
262,37,1200
263,27,1302
264,42,12000
265,26,1265
266,48,1600
267,26,1300
268,35,1465
269,23,750
270,40,2800
271,22,840.00
272,43,3080
273,32,3000
274,46,3500.00
275,41,1200
276,31,2421
277,22,1200
278,24,930
279,49,22000
280,60,6000
281,46,3000
282,42,10000
283,39,4500
284,39,1600
285,24,820
286,35,2000
287,24,960
288,37,3307
289,28,1800
290,37,3400
291,53,3000
292,49,6000
293,36,4500
294,37,8000
295,26,1900
296,36,10000.00
297,33,1200
298,40,1850
299,22,1414.6
300,25,1800
301,29,3000
302,24,1694
303,29,1960
304,40,12000
305,37,10000
306,38,10000.00
307,22,1384
308,24,1000.00
309,40,3000
310,27,3100
311,37,1010
312,48,15000.00
313,27,1300
314,25,1776.00
315,34,1300
316,49,1000
317,29,1527
318,29,5600
319,31,3600
320,28,1600
321,34,1540
322,46,24000
323,50,2800
324,29,6052
325,33,2200
326,36,4271
327,30,1700
328,25,3400.00
329,35,3500
330,39,9000
331,26,1300
332,26,1600
333,32,8000
334,48,5000.00
335,23,1000
336,29,4800.00
337,32,2800
338,27,2100
339,43,1720
340,26,1500
341,34,989
342,44,1400
343,33,4000
344,37,9000
345,37,2500
346,43,4800
347,38,3000
348,39,3000
349,24,1050
350,34,1349.00
351,36,5000
352,50,16000.00
353,39,1300
354,22,1000
355,33,8500
356,34,1600
357,31,1000
358,38,1600
359,31,2000
360,36,3400
361,37,7500
362,41,3000
363,27,2000
364,28,1450
365,26,2500.00
366,24,1093
367,24,2000
368,33,3200
369,31,4800
370,25,1300
371,27,1500
372,41,6500.00
373,43,1500
374,18,800
375,33,3100
376,26,1569
377,37,7000
378,33,1619
379,45,4200
380,24,6500
381,33,1139
382,22,1800
383,27,3000
384,24,880
385,43,2500
386,36,5000
387,38,3120
388,28,1400
389,25,937
390,25,2500
391,32,1300
392,36,3500
393,33,1759.87
394,37,2500
395,23,1700
396,24,1000
397,33,3500
398,30,1666
399,27,1000
400,25,900
401,23,1867
402,29,2200
403,22,1400
404,21,1200
405,32,1104
406,35,2000.00
407,33,4000
408,30,2900
409,29,4300
410,38,4856
411,24,1000
412,44,5000
413,53,5800
414,27,1500
415,23,788
416,29,900
417,24,800.00
418,21,800
419,34,2500
420,41,5419
421,35,2500
422,52,16270
423,33,2000
424,30,3700
425,35,10600.00
426,25,1300
427,24,1800
428,23,2162
429,44,4635
430,30,2500
431,44,1500
432,37,12200
433,37,2998
434,31,7233
435,29,4500
436,42,5000.00
437,37,1400
438,24,1680.00
439,28,1875
440,29,1057
441,23,1300
442,27,1000
443,26,1200
444,29,3300
445,26,1300
446,23,1600
447,30,9000
448,28,2500
449,27,1360
450,26,1200
451,50,2400
452,28,4200
453,35,1100
454,35,8500
455,33,5800
456,40,5000
457,37,1465
458,46,3000
459,23,1250
460,27,2900
461,28,1370.42
462,34,2455.58
463,36,6000
464,23,960
465,30,2600
466,53,5000
467,23,1200
468,21,740
469,34,2200
470,34,3500
471,33,1080
472,35,1700
473,23,1400
474,31,1723.85
475,21,1300
476,27,1600
477,40,1500
478,30,2500
479,30,1070
480,49,1499
481,32,1800
482,41,1300
483,50,4500
484,34,1300
485,32,1640
486,24,1000
487,27,1332
488,23,1736.8
489,36,2000.00
490,46,10000
491,28,1600
492,31,1504
493,30,1500
494,37,1700
495,56,3500
496,43,9000.00
497,30,1500
498,21,937
499,36,14992
500,23,1250
501,30,2326
502,39,1400
503,47,11000
504,42,1650
505,38,2000
506,33,5400
507,27,550.00
508,40,1200
509,26,1280
510,37,2080
511,32,8500
512,50,10000
513,23,2000
514,23,1300
515,21,1000
516,43,3800
517,52,2000
518,26,2500
519,23,980
520,25,1300
521,36,3500
522,43,7500
523,61,4500
524,27,1400
525,30,2000.00
526,36,800
527,28,2800
528,25,1200
529,28,3500
530,27,4500
531,37,2500
532,35,7000
533,21,1200
534,31,2000
535,39,3500
536,27,1100
537,45,2000
538,21,681
539,49,8600
540,25,1025
541,21,1200
542,30,1670
543,41,1600
544,34,5000
545,49,2000
546,33,780
547,26,1100
548,33,2000
549,36,2000
550,37,2500
551,34,1300
552,48,3000
553,34,1300
554,33,1725
555,35,2870
556,53,18450
557,27,4500
558,34,1236.37
559,20,1200
560,36,1200
561,22,1050.01
562,25,1700
563,41,4700
564,21,702
565,45,7860
566,37,6000
567,35,1600
568,35,3600
569,59,28164
570,19,800
571,32,3000
572,29,5300.00
573,49,2500
574,55,937
575,51,6500
576,33,1130
577,51,7500
578,34,3450
579,28,1000
580,39,1800
581,37,1500
582,25,1400
583,39,2332
584,39,8504
585,26,1300
586,27,4700
587,25,1800
588,27,1000
589,24,1300.00
590,37,2799
591,38,2000
592,27,1500
593,55,2500
594,25,2900
595,48,4000
596,41,1200
597,36,2000
598,59,3500
599,27,1405
600,29,2110
601,35,3000
602,59,1520
603,37,4000
604,26,1150
605,41,4500
606,31,2400
607,33,3500
608,24,2100.00
609,22,1821.46
610,27,2100
611,35,2500
612,37,2800
613,37,2000.00
614,23,800
615,33,7000
616,62,13500
617,20,600
618,34,1440
619,42,1631
620,21,1240
621,37,2000.00
622,35,2800
623,48,1500.00
624,31,1330.01
625,39,2600
626,32,2500
