year,variableA,variableB,variableC,variableD
2004,26,2,78,0
2004,36,2,91,0
2004,35,1,100,0
2004,32,2,100,0
2004,35,2,94,0
2004,31,2,76,0
2004,20,2,68,0
2004,31,2,87,0
2004,40,2,85,0
2004,32,1,79,0
2004,29,2,75,0
2004,18,2,67,0
2005,19,2,62,0
2005,26,2,63,0
2005,23,2,69,0
2005,29,1,72,0
2005,26,2,66,0
2005,23,2,54,0
2005,13,2,48,0
2005,22,2,53,0
2005,33,2,58,0
2005,25,2,52,0
2005,23,2,57,0
2005,12,2,52,0
2006,10,2,42,0
2006,14,2,47,1
2006,15,3,50,1
2006,15,2,48,1
2006,18,1,49,1
2006,13,2,46,1
2006,10,2,35,1
2006,15,2,41,1
2006,19,1,37,1
2006,17,1,38,1
2006,16,2,39,1
2006,7,2,33,1
2007,7,1,35,1
2007,12,1,34,1
2007,12,1,39,1
2007,12,2,33,1
2007,13,1,38,2
2007,11,2,30,1
2007,9,1,28,3
2007,13,1,31,4
2007,17,2,34,2
2007,14,2,35,4
2007,12,2,33,3
2007,7,2,26,5
2008,7,1,29,4
2008,12,2,30,5
2008,10,2,30,5
2008,11,2,31,5
2008,13,1,29,5
2008,11,1,26,6
2008,7,2,24,7
2008,11,1,23,6
2008,15,3,29,7
2008,14,2,28,8
2008,13,2,27,8
2008,7,1,24,6
2009,7,2,22,6
2009,10,2,29,7
2009,11,2,30,11
2009,10,2,28,11
2009,12,2,25,10
2009,11,2,24,10
2009,6,1,19,12
2009,10,2,21,11
2009,13,2,26,10
2009,12,2,25,11
2009,10,2,27,14
2009,6,2,21,10
2010,6,2,22,11
2010,9,2,22,12
2010,9,2,25,15
2010,10,2,28,15
2010,10,2,22,13
2010,9,2,21,15
2010,6,2,19,15
2010,9,2,21,15
2010,10,2,21,16
2010,10,2,23,16
2010,10,2,22,17
2010,5,2,20,15
2011,5,2,19,14
2011,7,2,20,18
2011,8,3,21,17
2011,6,3,20,20
2011,7,3,20,20
2011,7,3,19,22
2011,5,4,17,21
2011,8,4,17,22
2011,8,5,20,24
2011,9,6,19,26
2011,8,7,20,29
2011,5,7,18,26
2012,5,9,15,26
2012,7,13,20,30
2012,8,15,20,31
2012,6,16,19,28
2012,8,18,18,32
2012,6,18,15,31
2012,5,19,14,30
2012,7,18,16,31
2012,8,21,18,30
2012,7,26,18,32
2012,6,26,17,30
2012,4,23,16,30
2013,5,27,15,31
2013,6,32,17,35
2013,5,36,17,38
2013,6,39,18,39
2013,6,39,16,35
2013,6,40,14,39
2013,4,41,14,40
2013,6,37,14,39
2013,7,42,17,39
2013,6,47,17,42
2013,6,45,17,41
2013,4,38,15,38
2014,5,46,16,40
2014,7,49,17,43
2014,6,54,18,43
2014,5,52,17,46
2014,7,50,16,43
2014,6,49,12,43
2014,6,49,12,45
2014,8,46,13,42
2014,8,54,15,44
2014,7,54,16,43
2014,8,53,16,43
2014,5,46,15,41
2015,6,53,14,42
2015,7,56,15,47
2015,6,61,16,49
2015,6,59,17,49
2015,8,53,16,45
2015,10,58,12,48
2015,9,53,11,46
2015,8,50,12,44
2015,9,58,14,48
2015,7,60,15,45
2015,8,57,15,42
2015,5,50,14,38
2016,5,53,12,38
2016,6,60,14,44
2016,6,60,15,44
2016,8,59,16,42
2016,6,61,14,41
2016,6,58,12,43
2016,4,52,10,36
2016,6,53,12,37
2016,7,60,12,38
2016,7,60,13,35
2016,7,65,15,39
2016,5,55,13,33
2017,6,59,13,36
2017,7,66,14,40
2017,7,69,15,40
2017,7,65,15,39
2017,8,64,15,37
2017,6,59,11,37
2017,7,56,11,34
2017,11,56,12,34
2017,10,63,13,35
2017,10,64,15,36
2017,11,66,16,35
2017,8,55,14,29
2018,7,59,13,30
2018,10,61,13,32
2018,11,62,13,32
2018,11,63,15,31
2018,12,59,14,30
2018,10,57,11,28
2018,8,54,10,29
2018,11,56,12,29
2018,12,62,13,29
2018,11,67,13,28
2018,12,60,14,26
2018,8,50,14,24
2019,8,55,11,24
2019,10,56,13,26
2019,10,59,14,26
