,salario,escolaridade_desejada
0,2800,Superior Completo
1,600,Superior Incompleto
2,1825,Superior Incompleto
3,6000,Superior Completo
4,3784,Superior Completo
5,4000,Superior Completo
6,5000,Superior Completo
7,2000,Superior em andamento
8,4000,Superior Completo
9,4000,Superior Completo
10,4000,Superior Completo
11,2000,Superior Completo
12,2500,Superior Completo
13,1488,Superior em andamento
14,7000,Superior Completo
15,4000,Superior Completo
16,1700,Superior Completo
17,3500,Superior em andamento
18,50000,Superior em andamento
19,1500,Superior em andamento
20,2300,Superior Completo
21,0,Superior em andamento
22,1500,Superior Completo
23,2500,Superior Completo
24,2850,Superior em andamento
25,2500,Superior em andamento
26,2500,Superior em andamento
27,2500,Superior Completo
28,2500,Superior Completo
29,2500,Superior Completo
30,2850,Superior em andamento
31,1300,Superior Incompleto
32,3500,Superior em andamento
33,3500,Superior em andamento
34,2500,Superior Completo
35,1500,Superior Incompleto
36,2500,Superior Completo
37,1800,Superior Incompleto
38,5000,Superior Completo
39,1000,Superior em andamento
40,3000,Superior Completo
41,1500,Superior Completo
42,2750,Superior Completo
43,945,Superior em andamento
44,420,Superior Incompleto
45,0,Superior Incompleto
46,0,Superior Completo
47,6000,Superior Completo
48,0,Superior Completo
49,1000,Superior em andamento
50,1500,Superior em andamento
51,2500,Superior Incompleto
52,3000,Superior Completo
53,6000,Superior Completo
54,3000,Superior em andamento
55,4000,Superior Completo
56,4000,Superior Completo
57,0,Superior Completo
58,,Superior Completo
59,6500,Superior Completo
60,4000,Superior em andamento
61,5000,Superior Completo
62,7500,Superior Completo
63,7000,Superior Completo
64,1000,Superior Completo
65,12000,Superior Completo
66,5000,Superior Completo
67,6000,Superior Completo
68,4000,Superior Completo
69,2750,Superior Completo
70,1000,Superior em andamento
71,8000,Superior Completo
72,4000,Superior Completo
73,3000,Superior em andamento
74,4000,Superior Completo
75,5000,Superior Completo
76,7000,Superior Completo
77,6000,Superior Completo
78,3000,Superior Completo
79,5000,Superior Completo
80,3000,Superior em andamento
81,1300,Superior em andamento
82,9000,Superior Completo
83,1500,Superior em andamento
84,1500,Superior Incompleto
85,0,Superior Incompleto
86,1,Superior Completo
87,6500,Superior Completo
88,1,Superior Completo
89,1,Superior Completo
90,9000,Superior Completo
91,8000,Superior Completo
92,9000,Superior Completo
93,8000,Superior Completo
94,8000,Superior Completo
95,4700,Superior Completo
96,4700,Superior Completo
97,4700,Superior Completo
98,4700,Superior Completo
99,4700,Superior Completo
100,4700,Superior Completo
101,4700,Superior Completo
102,4700,Superior em andamento
103,4700,Superior em andamento
104,4700,Superior Completo
105,4700,Superior Completo
106,4700,Superior Completo
107,4700,Superior Completo
108,4700,Superior Completo
109,6700,Superior em andamento
110,7500,Superior Completo
111,4300,Superior Completo
112,8500,Superior Completo
113,9000,Superior Completo
114,9000,Superior Completo
115,0,Superior Completo
116,6500,Superior Completo
117,1000,Superior em andamento
118,9000,Superior Completo
119,9000,Superior Completo
120,3000,Superior Completo
121,3000,Superior Completo
122,6500,Superior Completo
123,5500,Superior em andamento
124,8000,Superior em andamento
125,5100,Superior em andamento
126,17000,Superior Completo
127,3200,Superior Completo
128,8000,Superior Completo
129,5900,Superior Completo
130,5000,Superior Completo
131,0,Superior Completo
132,0,Superior Completo
133,0,Superior Completo
134,9000,Superior Completo
135,6500,Superior Completo
136,8000,Superior Completo
137,5000,Superior Completo
138,6000,Superior Completo
139,6000,Superior Completo
140,6000,Superior Completo
141,6000,Superior Completo
142,6000,Superior Completo
143,6000,Superior Completo
144,7000,Superior Completo
145,7000,Superior Completo
146,7000,Superior Completo
147,60000,Superior Completo
148,5000,Superior Completo
149,2500,Superior Completo
150,6000,Superior Completo
151,5500,Superior Incompleto
152,15000,Superior Completo
153,7000,Superior Completo
154,10000,Superior Completo
155,10000,Superior Completo
156,8000,Superior Completo
157,8000,Superior Completo
158,8000,Superior Completo
159,25000,Superior Completo
160,18000,Superior Completo
161,11000,Superior Completo
162,5500,Superior Completo
163,4000,Superior Completo
164,21000,Superior Completo
165,5500,Superior em andamento
166,3500,Superior em andamento
167,12000,Superior Completo
168,8700,Superior em andamento
169,7000,Superior Completo
170,9000,Superior Completo
171,9000,Superior Completo
172,8000,Superior Completo
173,8000,Superior Completo
174,8000,Superior Completo
175,8000,Superior Completo
176,8000,Superior Completo
177,5000,Superior em andamento
178,8000,Superior Completo
179,0,Superior Completo
180,5500,Superior Incompleto
181,7556,Superior Completo
182,7000,Superior Completo
183,10000,Superior Completo
184,5100,Superior Completo
185,9000,Superior Completo
186,3021.6,Superior Completo
187,6500,Superior Completo
188,0,Superior em andamento
189,11000,Superior Completo
190,0,Superior em andamento
191,0,Superior em andamento
192,3021.6,Superior Completo
193,1500,Superior em andamento
194,6500,Superior em andamento
195,0,Superior em andamento
196,6000,Superior Completo
197,0,Superior em andamento
198,6500,Superior Completo
199,0,Superior em andamento
200,8500,Superior Completo
201,7000,Superior Completo
202,5000,Superior Completo
203,6500,Superior Completo
204,0.01,Superior Completo
205,0.01,Superior Completo
206,7800,Superior Completo
207,7800,Superior Completo
208,7800,Superior Completo
209,5500,Superior Completo
210,10000,Superior Completo
211,8667.4,Superior Completo
212,9794.32,Superior Completo
213,11000,Superior Completo
214,8667.54,Superior Completo
215,6443.63,Superior Completo
216,8700,Superior Completo
217,8667.54,Superior Completo
218,8667.54,Superior Completo
219,7670.39,Superior Completo
220,8667.54,Superior Completo
221,9000,Superior Completo
222,6000,Superior Completo
223,0,Superior em andamento
224,0,Superior em andamento
225,0,Superior em andamento
226,7000,Superior Completo
227,0,Superior em andamento
228,7500,Superior em andamento
229,7000,Superior Completo
230,7000,Superior Completo
231,7000,Superior Completo
232,7000,Superior Completo
233,7000,Superior Completo
234,0,Superior Completo
235,0,Superior Completo
236,7500,Superior Completo
237,8000,Superior Completo
238,,Superior Completo
239,6500,Superior Incompleto
240,,Superior Incompleto
241,,Superior Incompleto
242,,Superior Incompleto
243,,Superior Incompleto
244,,Superior Incompleto
245,,Superior Incompleto
246,0,Superior Incompleto
247,,Superior Incompleto
248,,Superior Incompleto
249,0,Superior Completo
250,,Superior Incompleto
251,7000,Superior Completo
252,7800,Superior em andamento
253,8000,Superior Completo
254,8500,Superior Completo
255,9000,Superior Completo
256,,Superior Incompleto
257,8000,Superior Completo
258,8500,Superior Incompleto
259,10000,Superior Completo
260,8000,Superior Completo
261,8000,Superior Completo
262,4700,Superior Completo
263,2000,Superior em andamento
264,8500,Superior em andamento
265,0,Superior Completo
266,4400,Superior em andamento
267,6400,Superior em andamento
268,6400,Superior em andamento
269,8500,Superior em andamento
270,8000,Superior em andamento
271,10000,Superior Completo
272,8000,Superior Completo
273,8000,Superior Completo
274,10600,Superior Completo
275,5900,Superior Completo
276,3400,Superior Completo
277,6000,Superior Completo
278,7000,Superior Completo
279,10000,Superior Completo
280,8000,Superior Completo
281,8000,Superior Completo
282,5000,Superior Completo
283,0,Superior em andamento
284,10100,Superior Completo
285,,Superior Incompleto
286,,Superior Incompleto
287,5000,Superior Completo
288,,Superior Completo
289,,Superior Incompleto
290,,Superior Incompleto
291,,Superior Incompleto
292,,Superior Incompleto
293,,Superior Completo
294,,Superior Incompleto
295,8500,Superior Incompleto
296,8217.95,Superior Completo
297,8217.95,Superior Completo
298,10300,Superior Completo
299,10300,Superior Completo
300,1,Superior em andamento
301,5000,Superior em andamento
302,5000,Superior em andamento
303,5000,Superior em andamento
304,2200,Superior Completo
305,2200,Superior Completo
306,6443.63,Superior Completo
307,6787.96,Superior Completo
308,,Superior Incompleto
309,,Superior Incompleto
310,7000,Superior em andamento
311,6000,Superior Incompleto
312,,Superior Incompleto
313,,Superior Incompleto
314,,Superior Incompleto
315,,Superior Incompleto
316,6000,Superior Incompleto
317,6000,Superior Incompleto
318,6000,Superior Incompleto
319,6000,Superior Incompleto
320,5000,Superior Completo
321,5000,Superior Completo
322,5000,Superior Completo
323,5000,Superior Completo
324,5000,Superior Completo
325,6300,Superior Completo
326,6300,Superior Completo
327,4700,Superior Completo
328,4700,Superior Completo
329,6000,Superior Incompleto
330,6500,Superior Completo
331,0,Superior Incompleto
332,6000,Superior Incompleto
333,15000,Superior Completo
334,1500,Superior em andamento
335,11000,Superior Completo
336,3000,Superior Completo
337,3000,Superior Completo
338,6800,Superior Completo
339,8000,Superior Incompleto
340,3500,Superior Incompleto
341,6700,Superior Completo
342,10,Superior Completo
343,0.01,Superior em andamento
344,7500,Superior Completo
345,6500,Superior Completo
346,8000,Superior Completo
347,,Superior Completo
348,4000,Superior Completo
349,3000,Superior em andamento
350,8000,Superior Completo
351,8500,Superior em andamento
352,8000,Superior Completo
353,8000,Superior Completo
354,12800,Superior Completo
355,7556,Superior Completo
356,8500,Superior Completo
357,8500,Superior Completo
358,15000,Superior Completo
359,0,Superior Completo
360,6300,Superior em andamento
361,6300,Superior em andamento
362,6300,Superior em andamento
363,8000,Superior em andamento
364,8000,Superior em andamento
365,5700,Superior Incompleto
366,8000,Superior em andamento
367,5700,Superior Incompleto
368,6443.63,Superior Completo
369,7000,Superior Incompleto
370,7000,Superior Incompleto
371,7000,Superior Incompleto
372,5800,Superior Completo
373,8667.54,Superior Completo
374,0,Superior em andamento
375,4000,Superior Completo
376,6000,Superior Incompleto
377,6000,Superior Completo
378,2500,Superior Completo
379,8500,Superior Completo
380,8000,Superior Completo
381,8500,Superior Completo
382,8000,Superior Completo
383,4700,Superior em andamento
384,6700,Superior em andamento
385,6000,Superior Completo
386,10000,Superior Completo
387,3500,Superior Completo
388,5000,Superior Completo
389,,Superior Incompleto
390,8500,Superior Completo
391,11000,Superior Completo
392,3000,Superior Incompleto
393,4000,Superior Completo
394,4000,Superior Completo
395,,Superior Incompleto
396,,Superior Incompleto
397,,Superior Incompleto
398,,Superior Incompleto
399,6500,Superior Completo
400,10000,Superior Completo
401,0,Superior Completo
402,10000,Superior Completo
403,8900,Superior em andamento
404,8900,Superior em andamento
405,11000,Superior Completo
406,11000,Superior Completo
407,,Superior Incompleto
408,7000,Superior Completo
409,,Superior Incompleto
410,,Superior Incompleto
411,8500,Superior em andamento
412,5000,Superior em andamento
413,0,Superior Completo
414,0,Superior Completo
415,5500,Superior Incompleto
416,,Superior Incompleto
417,6000,Superior Completo
418,,Superior Incompleto
419,,Superior Incompleto
420,9000,Superior Completo
421,3000,Superior Completo
422,6000,Superior em andamento
